name,id,nametype,recclass,mass,fall,year,reclat,reclong,point coordinates
Itapicuru-Mirim,12056,1,H5,2024.0,Fell,1879-01-01,-3.4,-44.33333,"[-3.4, -44.33333]"
Itqiy,12058,1,EH7-an,4720.0,Fell,1990-01-01,26.59083,-12.95217,"[26.59083, -12.95217]"
Ivuna,12063,1,CI1,704.5,Fell,1938-01-01,-8.41667,32.43333,"[-8.41667, 32.43333]"
Jackalsfontein,12065,1,L6,48000.0,Fell,1903-01-01,-32.5,21.9,"[-32.5, 21.9]"
Jajh deh Kot Lalu,12067,1,EL6,973.0,Fell,1926-01-01,26.75,68.41667,"[26.75, 68.41667]"
Jalanash,12068,1,Ureilite,700.0,Fell,1990-01-01,,,
Jalandhar,12069,1,Iron,1967.0,Fell,1621-01-01,31.0,75.0,"[31.0, 75.0]"
Jamkheir,12072,1,H6,22.0,Fell,1866-01-01,18.75,75.33333,"[18.75, 75.33333]"
Jartai,12074,1,L6,20500.0,Fell,1979-01-01,39.7,105.8,"[39.7, 105.8]"
Jelica,12078,1,LL6,34000.0,Fell,1889-01-01,43.83333,20.44167,"[43.83333, 20.44167]"
Jemlapur,12079,1,L6,450.0,Fell,1901-01-01,,,
Jesenice,51589,1,L6,3667.0,Fell,2009-01-01,46.42137,14.05217,"[46.42137, 14.05217]"
Jhung,12085,1,L5,5900.0,Fell,1873-01-01,31.3,72.38333,"[31.3, 72.38333]"
Jiange,12086,1,H5,222.0,Fell,1964-01-01,31.91667,104.91667,"[31.91667, 104.91667]"
Jianshi,12087,1,"Iron, IIIAB",600000.0,Fell,1890-01-01,30.80833,109.5,"[30.80833, 109.5]"
Jilin,12171,1,H5,4000000.0,Fell,1976-01-01,44.05,126.16667,"[44.05, 126.16667]"
Jodiya,47362,1,L5,100.0,Fell,2006-01-01,22.68,70.31333,"[22.68, 70.31333]"
Jodzie,12173,1,Howardite,30.0,Fell,1877-01-01,55.7,24.4,"[55.7, 24.4]"
